team_id,canonical_name,display_name,record_source,record_source_url,logo_url
lp_team_141182,Counter Logic Gaming Europe,Counter Logic Gaming Europe,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/141182,https://lol.fandom.com/wiki/Special:Redirect/file/Clgeu_logo2.png
lp_team_141863,Crest Gaming Act,Crest Gaming Act,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/141863,https://lol.fandom.com/wiki/Special:Redirect/file/Crest_Gaming_Actlogo_profile.png
lp_team_141902,Crew e-Sports Club,Crew e-Sports Club,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/141902,https://lol.fandom.com/wiki/Special:Redirect/file/CEC_logo_2.png
lp_team_142460,CrossGaming,CrossGaming,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/142460,https://lol.fandom.com/wiki/Special:Redirect/file/Crossgaminglogo.png
lp_team_145631,Curse Academy,Curse Academy,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/145631,https://lol.fandom.com/wiki/Special:Redirect/file/Curse_Academy.png
lp_team_145883,Cursed Rage,Cursed Rage,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/145883,https://lol.fandom.com/wiki/Special:Redirect/file/Cursed_Ragelogo_square.png
lp_team_145961,Cyclone,Cyclone,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/145961,https://lol.fandom.com/wiki/Special:Redirect/file/Cyclonelogo_square.png
lp_team_145988,Cyzone,Cyzone,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/145988,https://lol.fandom.com/wiki/Special:Redirect/file/Cyzone.jpg
lp_team_146042,Dplus Kia,Dplus Kia,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/146042,https://lol.fandom.com/wiki/Special:Redirect/file/Dplus_Kialogo_profile.png
lp_team_146060,DAN Gaming,DAN Gaming,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/146060,https://lol.fandom.com/wiki/Special:Redirect/file/DAN_Gaminglogo_square.png
lp_team_146186,DS Gaming,DS Gaming,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/146186,https://lol.fandom.com/wiki/Special:Redirect/file/DS_Gaminglogo_square.png
lp_team_146270,Dadslammers,Dadslammers,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/146270,https://lol.fandom.com/wiki/Special:Redirect/file/Skyline.jpg
lp_team_146576,Dark Horse,Dark Horse,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/146576,https://lol.fandom.com/wiki/Special:Redirect/file/Dark_Horse_logo.png
lp_team_146585,Dark Passage,Dark Passage,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/146585,https://lol.fandom.com/wiki/Special:Redirect/file/Dark_Passagelogo_profile.png
lp_team_147401,Dark Passage White,Dark Passage White,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/147401,https://lol.fandom.com/wiki/Special:Redirect/file/Darkpassageyeni.png
lp_team_147407,Dark Wolves,Dark Wolves,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/147407,https://lol.fandom.com/wiki/Special:Redirect/file/Dark_Wolves_logo.png
lp_team_147446,DarlingYou,DarlingYou,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/147446,https://lol.fandom.com/wiki/Special:Redirect/file/DLY_logo_new.png
lp_team_147674,Dash9 Gaming,Dash9 Gaming,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/147674,https://lol.fandom.com/wiki/Special:Redirect/file/Dash9Gaming.png
lp_team_148805,Defenders (防衛者),Defenders (防衛者),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/148805,https://lol.fandom.com/wiki/Special:Redirect/file/Defenderslogo_square.png
lp_team_149042,DeftCarry,DeftCarry,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/149042,https://lol.fandom.com/wiki/Special:Redirect/file/Unknown_Infobox_Image_-_Team.png
