player_id,canonical_name,display_name,record_source,record_source_url,photo_url
lp_player_230171,Biubiu,Biubiu,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230171,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/c/c2/WE_Biubiu_2023_Split_1.png/revision/latest?cb=20230111182919
lp_player_230226,l3est16,l3est16,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230226,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/9/9c/BLGJ_l3est16_2021_Split_1.png/revision/latest?cb=20210108224453
lp_player_230231,GALA,GALA,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230231,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/1/16/JDG_GALA_2026_Split_1.png/revision/latest?cb=20260328112237
lp_player_230236,Rashomon,Rashomon,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230236,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/2/27/NIP_Rashomon_2025_Split_1.png/revision/latest?cb=20241215095954
lp_player_230274,Elramir,Elramir,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230274,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/9/96/GK_Elramir_2025_Split_2.png/revision/latest?cb=20250429130457
lp_player_230374,Ozgur,Ozgur (Can Özgür Kara),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230374,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/0/02/GAL_Ozgur_2018_Winter.png/revision/latest?cb=20180325161740
lp_player_230449,Lodik,Lodik,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230449,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/f/f6/UOL_Lodik_2021_Split_1.png/revision/latest?cb=20210501113911
lp_player_230453,Light,Light (Wang Guang-Yu),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230453,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/6/61/WBG_Light_2025_Split_1.png/revision/latest?cb=20250109143705
lp_player_230468,Lhazurt,Lhazurt,leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230468,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/6/6e/BOC_Lhazurt_2021_Closing.png/revision/latest?cb=20210520015848
lp_player_230470,Jay,Jay (Chen Bo),leaguepedia_cargo,https://lol.fandom.com/wiki/Special:Redirect/page/230470,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/e/e8/LGD_Jay_2022_Split_1.png/revision/latest?cb=20220109031548
